date	html	pdf	abstract	epdf
2014-05-01	40	9	5	0
2014-06-01	25	10	5	0
2014-07-01	34	10	18	0
2014-08-01	14	15	4	0
2014-09-01	22	13	2	0
2014-10-01	18	4	4	0
2014-11-01	22	9	2	0
2014-12-01	19	8	2	0
2015-01-01	36	11	2	0
2015-02-01	15	2	7	0
2015-03-01	41	11	5	0
2015-04-01	42	15	5	0
2015-05-01	28	13	7	0
2015-06-01	15	12	3	0
2015-07-01	30	12	3	0
2015-08-01	23	15	3	0
2015-09-01	20	20	1	0
2015-10-01	49	17	5	0
2015-11-01	43	11	7	0
2015-12-01	32	12	6	0
2016-01-01	30	12	7	0
2016-02-01	24	13	4	0
2016-03-01	29	10	4	0
2016-04-01	33	7	5	0
