date	html	pdf	abstract	epdf
2011-12-01	1	0	0	0
2012-01-01	43	113	7	0
2012-02-01	54	106	6	0
2012-03-01	80	204	7	0
2012-04-01	58	198	3	0
2012-05-01	69	233	2	0
2012-06-01	67	100	12	0
2012-07-01	46	121	13	0
2012-08-01	59	217	10	0
2012-09-01	72	267	14	0
2012-10-01	83	214	6	0
2012-11-01	76	146	9	0
2012-12-01	48	126	16	0
2013-01-01	73	82	15	0
2013-02-01	83	130	13	0
2013-03-01	140	238	17	0
2013-04-01	166	196	10	0
2013-05-01	146	188	13	0
2013-06-01	95	136	16	0
2013-07-01	78	135	10	0
2013-08-01	122	193	6	0
2013-09-01	72	221	5	0
2013-10-01	70	293	3	0
2013-11-01	62	280	2	0
2013-12-01	56	172	2	0
2014-01-01	72	146	6	0
2014-02-01	65	192	1	0
2014-03-01	77	251	6	0
2014-04-01	61	234	4	0
2014-05-01	125	314	5	0
2014-06-01	69	171	5	0
2014-07-01	106	216	12	0
2014-08-01	74	238	2	0
2014-09-01	89	296	4	0
2014-10-01	123	251	1	0
2014-11-01	107	264	2	0
2014-12-01	68	118	3	0
2015-01-01	100	101	6	0
2015-02-01	61	158	6	0
2015-03-01	116	352	2	0
2015-04-01	104	197	5	0
2015-05-01	88	244	10	1
2015-06-01	91	266	3	6
2015-07-01	117	171	1	1
2015-08-01	74	217	1	0
2015-09-01	62	262	0	1
2015-10-01	80	327	3	0
2015-11-01	67	375	2	0
2015-12-01	59	248	3	0
2016-01-01	51	203	3	0
2016-02-01	60	59	1	0
2016-03-01	70	90	1	0
2016-04-01	89	70	1	0
