date	html	pdf	abstract	epdf
2011-12-01	3	2	0	0
2012-01-01	124	61	6	0
2012-02-01	148	98	3	0
2012-03-01	230	135	3	0
2012-04-01	238	92	2	0
2012-05-01	281	176	3	0
2012-06-01	325	184	4	0
2012-07-01	148	119	5	0
2012-08-01	208	135	9	0
2012-09-01	258	132	4	0
2012-10-01	235	119	0	0
2012-11-01	255	174	3	0
2012-12-01	139	76	4	0
2013-01-01	158	93	5	0
2013-02-01	186	102	8	0
2013-03-01	287	148	7	0
2013-04-01	326	174	1	0
2013-05-01	341	138	5	0
2013-06-01	227	170	6	0
2013-07-01	144	103	5	0
2013-08-01	171	120	5	0
2013-09-01	189	156	0	0
2013-10-01	291	186	0	0
2013-11-01	299	161	5	0
2013-12-01	135	93	4	0
2014-01-01	110	83	4	0
2014-02-01	110	109	2	0
2014-03-01	186	165	4	0
2014-04-01	140	162	2	0
2014-05-01	169	147	1	0
2014-06-01	173	119	4	0
2014-07-01	176	117	11	0
2014-08-01	163	138	2	0
2014-09-01	220	129	1	0
2014-10-01	289	183	1	0
2014-11-01	332	170	0	0
2014-12-01	193	62	4	0
2015-01-01	133	50	2	0
2015-02-01	164	81	2	0
2015-03-01	239	179	2	0
2015-04-01	270	164	2	0
2015-05-01	302	183	7	2
2015-06-01	343	141	3	18
2015-07-01	233	109	1	0
2015-08-01	230	134	0	0
2015-09-01	200	118	1	0
2015-10-01	245	173	2	0
2015-11-01	208	182	5	0
2015-12-01	138	70	1	0
2016-01-01	104	65	3	0
2016-02-01	120	20	3	0
2016-03-01	149	23	1	0
2016-04-01	150	32	1	0
