date	html	pdf	abstract	epdf
2012-01-01	11	4	1	0
2012-02-01	14	10	1	0
2012-03-01	24	9	1	0
2012-04-01	19	9	2	0
2012-05-01	30	4	3	0
2012-06-01	22	4	2	0
2012-07-01	11	2	1	0
2012-08-01	11	6	0	0
2012-09-01	20	2	2	0
2012-10-01	23	2	3	0
2012-11-01	13	5	1	0
2012-12-01	29	10	3	0
2013-01-01	21	16	2	0
2013-02-01	21	7	4	0
2013-03-01	19	13	2	0
2013-04-01	30	11	2	0
2013-05-01	33	5	1	0
2013-06-01	24	9	3	0
2013-07-01	10	5	1	0
2013-08-01	11	5	2	0
2013-09-01	20	3	0	0
2013-10-01	20	8	0	0
2013-11-01	29	14	1	0
2013-12-01	12	10	0	0
2014-01-01	10	8	2	0
2014-02-01	13	37	0	0
2014-03-01	21	9	1	0
2014-04-01	20	7	2	0
2014-05-01	23	11	0	0
2014-06-01	10	14	2	0
2014-07-01	28	16	7	0
2014-08-01	28	11	2	0
2014-09-01	22	15	1	0
2014-10-01	22	18	1	0
2014-11-01	11	13	1	0
2014-12-01	12	19	4	0
2015-01-01	26	17	0	0
2015-02-01	8	4	0	0
2015-03-01	24	16	0	0
2015-04-01	18	12	5	0
2015-05-01	25	16	4	1
2015-06-01	28	37	2	1
2015-07-01	30	24	0	0
2015-08-01	28	23	2	0
2015-09-01	30	23	1	0
2015-10-01	25	23	1	0
2015-11-01	24	12	1	0
2015-12-01	17	18	0	0
2016-01-01	14	16	3	0
2016-02-01	26	23	0	0
2016-03-01	30	20	2	0
2016-04-01	22	10	0	0
