date	html	pdf	abstract	epdf
2013-02-01	50	14	1	0
2013-03-01	34	30	9	0
2013-04-01	61	26	13	0
2013-05-01	51	35	2	0
2013-06-01	30	19	3	0
2013-07-01	18	5	3	0
2013-08-01	19	18	2	0
2013-09-01	29	8	0	0
2013-10-01	33	20	4	0
2013-11-01	74	13	4	0
2013-12-01	22	6	0	0
2014-01-01	34	3	4	0
2014-02-01	63	13	0	0
2014-03-01	49	8	1	0
2014-04-01	41	6	1	0
2014-05-01	69	13	2	0
2014-06-01	39	8	1	0
2014-07-01	38	11	10	0
2014-08-01	32	12	2	0
2014-09-01	27	17	2	0
2014-10-01	30	13	2	0
2014-11-01	34	4	1	0
2014-12-01	37	7	4	0
2015-01-01	39	5	3	0
2015-02-01	31	6	3	0
2015-03-01	46	9	2	0
2015-04-01	69	10	1	0
2015-05-01	50	10	7	0
2015-06-01	27	7	1	2
2015-07-01	17	11	3	0
2015-08-01	27	9	0	0
2015-09-01	27	7	0	0
2015-10-01	144	8	5	0
2015-11-01	39	17	3	0
2015-12-01	18	3	1	0
2016-01-01	20	12	3	0
2016-02-01	14	18	3	0
2016-03-01	27	11	1	0
2016-04-01	45	10	3	0
