date	html	pdf	abstract	epdf
2013-09-01	19	9	2	0
2013-10-01	51	15	7	0
2013-11-01	41	11	4	0
2013-12-01	26	12	2	0
2014-01-01	31	10	4	0
2014-02-01	23	10	1	0
2014-03-01	45	18	0	0
2014-04-01	46	13	2	0
2014-05-01	22	17	3	0
2014-06-01	13	9	1	0
2014-07-01	26	8	10	0
2014-08-01	24	7	1	0
2014-09-01	23	8	1	0
2014-10-01	17	13	3	0
2014-11-01	20	9	1	0
2014-12-01	12	3	4	0
2015-01-01	30	12	6	0
2015-02-01	17	3	3	0
2015-03-01	26	9	3	0
2015-04-01	20	8	7	0
2015-05-01	31	3	7	1
2015-06-01	28	11	2	4
2015-07-01	16	6	4	0
2015-08-01	14	20	1	0
2015-09-01	21	11	0	0
2015-10-01	21	23	2	0
2015-11-01	17	14	3	0
2015-12-01	22	19	1	0
2016-01-01	17	9	2	0
2016-02-01	27	8	3	0
2016-03-01	39	11	2	0
2016-04-01	17	15	1	0
