date	html	pdf	abstract	epdf
2012-09-01	28	14	5	0
2012-10-01	34	23	3	0
2012-11-01	27	16	6	0
2012-12-01	9	1	4	0
2013-01-01	28	10	2	0
2013-02-01	21	4	3	0
2013-03-01	36	14	0	0
2013-04-01	46	5	1	0
2013-05-01	33	3	1	0
2013-06-01	15	1	7	0
2013-07-01	13	6	1	0
2013-08-01	14	4	1	0
2013-09-01	20	2	0	0
2013-10-01	16	4	0	0
2013-11-01	30	13	2	0
2013-12-01	17	7	1	0
2014-01-01	19	3	4	0
2014-02-01	16	4	0	0
2014-03-01	21	6	0	0
2014-04-01	19	2	3	0
2014-05-01	15	12	2	0
2014-06-01	11	12	0	0
2014-07-01	31	14	7	0
2014-08-01	19	2	2	0
2014-09-01	25	4	1	0
2014-10-01	32	11	1	0
2014-11-01	26	14	0	0
2014-12-01	15	5	6	0
2015-01-01	26	5	5	0
2015-02-01	15	7	2	0
2015-03-01	16	7	2	0
2015-04-01	15	8	5	0
2015-05-01	26	8	7	0
2015-06-01	15	11	6	0
2015-07-01	18	17	3	0
2015-08-01	15	6	1	0
2015-09-01	6	4	0	0
2015-10-01	22	5	2	0
2015-11-01	21	12	2	0
2015-12-01	22	7	0	0
2016-01-01	15	8	3	0
2016-02-01	8	6	2	0
2016-03-01	10	6	1	0
2016-04-01	15	5	5	0
