date	html	pdf	abstract	epdf
2013-11-01	17	1	2	0
2013-12-01	32	4	3	0
2014-01-01	30	9	7	0
2014-02-01	30	4	5	0
2014-03-01	31	4	3	0
2014-04-01	24	2	3	0
2014-05-01	21	3	2	0
2014-06-01	5	2	2	0
2014-07-01	22	1	13	0
2014-08-01	9	1	4	0
2014-09-01	6	1	1	0
2014-10-01	11	4	5	0
2014-11-01	14	6	2	0
2014-12-01	24	1	3	0
2015-01-01	28	1	8	0
2015-02-01	9	1	3	0
2015-03-01	22	4	3	0
2015-04-01	9	8	2	0
2015-05-01	6	6	8	0
2015-06-01	17	7	2	0
2015-07-01	9	1	0	0
2015-08-01	8	1	2	0
2015-09-01	10	1	0	0
2015-10-01	15	2	1	0
2015-11-01	13	5	6	0
2015-12-01	20	6	0	0
2016-01-01	17	5	4	0
2016-02-01	6	1	0	0
2016-03-01	12	3	2	0
2016-04-01	11	10	1	0
