date	html	pdf	abstract	epdf
2012-01-01	12	0	0	0
2012-02-01	21	0	1	0
2012-03-01	32	1	0	0
2012-04-01	56	5	0	0
2012-05-01	34	0	0	0
2012-06-01	28	0	0	0
2012-07-01	15	3	1	0
2012-08-01	22	1	2	0
2012-09-01	27	0	1	0
2012-10-01	32	0	0	0
2012-11-01	21	0	2	0
2012-12-01	11	1	2	0
2013-01-01	11	0	2	0
2013-02-01	15	0	1	0
2013-03-01	30	0	2	0
2013-04-01	29	2	1	0
2013-05-01	25	0	0	0
2013-06-01	4	1	4	0
2013-07-01	7	3	1	0
2013-08-01	12	3	3	0
2013-09-01	5	0	0	0
2013-10-01	11	2	0	0
2013-11-01	7	4	1	0
2013-12-01	8	3	1	0
2014-01-01	4	4	2	0
2014-02-01	7	4	0	0
2014-03-01	14	1	3	0
2014-04-01	12	2	3	0
2014-05-01	11	4	10	0
2014-06-01	16	3	3	0
2014-07-01	24	1	19	0
2014-08-01	18	1	5	0
2014-09-01	9	1	4	0
2014-10-01	16	4	5	0
2014-11-01	18	1	6	0
2014-12-01	16	3	4	0
2015-01-01	26	3	0	0
2015-02-01	13	0	4	0
2015-03-01	21	0	0	0
2015-04-01	20	0	0	0
2015-05-01	13	4	12	0
2015-06-01	17	5	1	0
2015-07-01	16	0	3	0
2015-08-01	17	2	1	0
2015-09-01	19	2	3	0
2015-10-01	24	0	2	0
2015-11-01	13	1	2	0
2015-12-01	20	1	1	0
2016-01-01	18	5	3	0
2016-02-01	10	3	1	0
2016-03-01	10	1	0	0
2016-04-01	11	5	1	0
