date	html	pdf	abstract	epdf
2011-12-01	1	0	0	0
2012-01-01	66	33	11	0
2012-02-01	85	18	6	0
2012-03-01	195	40	1	0
2012-04-01	236	76	2	0
2012-05-01	260	98	11	0
2012-06-01	161	62	2	0
2012-07-01	69	28	0	0
2012-08-01	170	54	1	0
2012-09-01	212	91	0	0
2012-10-01	255	77	0	0
2012-11-01	275	81	2	0
2012-12-01	157	30	2	0
2013-01-01	225	36	2	0
2013-02-01	265	40	3	0
2013-03-01	372	103	2	0
2013-04-01	460	96	2	0
2013-05-01	509	129	1	0
2013-06-01	303	139	3	0
2013-07-01	231	61	4	0
2013-08-01	351	74	2	0
2013-09-01	383	124	0	0
2013-10-01	461	116	4	0
2013-11-01	540	115	3	0
2013-12-01	226	75	0	0
2014-01-01	204	48	2	0
2014-02-01	298	50	1	0
2014-03-01	568	110	1	0
2014-04-01	449	132	1	0
2014-05-01	708	257	2	0
2014-06-01	499	87	0	0
2014-07-01	415	101	7	0
2014-08-01	394	101	1	0
2014-09-01	407	111	1	0
2014-10-01	504	154	3	0
2014-11-01	599	164	1	0
2014-12-01	250	32	4	0
2015-01-01	266	36	2	0
2015-02-01	207	37	1	0
2015-03-01	361	73	0	0
2015-04-01	375	131	2	0
2015-05-01	421	90	3	2
2015-06-01	611	99	2	17
2015-07-01	207	57	1	0
2015-08-01	159	105	0	0
2015-09-01	246	121	1	0
2015-10-01	237	140	1	0
2015-11-01	292	190	1	0
2015-12-01	104	78	0	0
2016-01-01	129	39	1	0
2016-02-01	122	9	2	0
2016-03-01	123	14	2	0
2016-04-01	202	38	0	0
