date	html	pdf	abstract	epdf
2011-12-01	1	0	0	0
2012-01-01	32	9	0	0
2012-02-01	47	10	1	0
2012-03-01	60	18	1	0
2012-04-01	47	22	3	0
2012-05-01	42	29	3	0
2012-06-01	40	6	4	0
2012-07-01	29	14	4	0
2012-08-01	43	17	3	0
2012-09-01	38	10	5	0
2012-10-01	50	14	4	0
2012-11-01	40	17	3	0
2012-12-01	28	21	4	0
2013-01-01	34	15	3	0
2013-02-01	35	13	3	0
2013-03-01	55	19	6	0
2013-04-01	72	29	6	0
2013-05-01	61	15	2	0
2013-06-01	42	17	6	0
2013-07-01	27	9	2	0
2013-08-01	33	13	7	0
2013-09-01	44	21	2	0
2013-10-01	70	17	3	0
2013-11-01	53	23	5	0
2013-12-01	22	10	2	0
2014-01-01	29	21	5	0
2014-02-01	41	16	2	0
2014-03-01	57	21	4	0
2014-04-01	44	25	3	0
2014-05-01	50	23	3	0
2014-06-01	33	12	5	0
2014-07-01	52	23	13	0
2014-08-01	34	18	1	0
2014-09-01	44	12	2	0
2014-10-01	48	24	5	0
2014-11-01	50	17	2	0
2014-12-01	34	4	3	0
2015-01-01	38	12	4	0
2015-02-01	24	9	3	0
2015-03-01	28	21	4	0
2015-04-01	30	15	2	0
2015-05-01	30	25	7	0
2015-06-01	46	24	1	6
2015-07-01	36	13	1	0
2015-08-01	51	21	0	0
2015-09-01	43	21	0	0
2015-10-01	37	19	2	0
2015-11-01	44	22	1	0
2015-12-01	28	10	0	0
2016-01-01	33	7	2	0
2016-02-01	27	16	0	0
2016-03-01	37	5	0	0
2016-04-01	34	20	0	0
