date	html	pdf	abstract	epdf
2013-07-01	21	72	5	0
2013-08-01	20	14	11	0
2013-09-01	26	15	7	0
2013-10-01	20	4	3	0
2013-11-01	16	14	5	0
2013-12-01	24	14	4	0
2014-01-01	21	21	2	0
2014-02-01	19	4	4	0
2014-03-01	32	10	0	0
2014-04-01	13	12	1	0
2014-05-01	19	12	3	0
2014-06-01	27	47	2	0
2014-07-01	48	8	9	0
2014-08-01	30	5	2	0
2014-09-01	36	26	1	0
2014-10-01	34	20	2	0
2014-11-01	47	8	1	0
2014-12-01	27	15	2	0
2015-01-01	34	4	4	0
2015-02-01	25	5	2	0
2015-03-01	36	13	2	0
2015-04-01	28	4	1	0
2015-05-01	23	19	6	1
2015-06-01	25	19	7	1
2015-07-01	16	45	0	0
2015-08-01	21	25	2	0
2015-09-01	19	20	1	0
2015-10-01	44	27	2	0
2015-11-01	31	18	3	0
2015-12-01	41	16	1	0
2016-01-01	41	29	4	0
2016-02-01	46	16	3	0
2016-03-01	39	11	0	0
2016-04-01	33	12	1	0
