date	html	pdf	abstract	epdf
2013-12-01	36	10	3	0
2014-01-01	48	18	7	0
2014-02-01	23	23	6	0
2014-03-01	23	14	3	0
2014-04-01	24	5	4	0
2014-05-01	26	16	1	0
2014-06-01	12	24	0	0
2014-07-01	31	20	13	0
2014-08-01	17	20	3	0
2014-09-01	12	12	2	0
2014-10-01	15	5	3	0
2014-11-01	13	11	2	0
2014-12-01	24	11	3	0
2015-01-01	29	7	3	0
2015-02-01	10	6	3	0
2015-03-01	26	13	2	0
2015-04-01	24	12	12	0
2015-05-01	22	10	6	0
2015-06-01	20	20	2	1
2015-07-01	26	14	0	0
2015-08-01	30	26	0	0
2015-09-01	17	7	1	0
2015-10-01	21	8	1	0
2015-11-01	18	16	2	0
2015-12-01	20	7	0	0
2016-01-01	15	5	3	0
2016-02-01	14	5	0	0
2016-03-01	20	12	0	0
2016-04-01	17	11	0	0
