date	html	pdf	abstract	epdf
2013-03-01	12	14	5	0
2013-04-01	34	11	20	0
2013-05-01	46	12	2	0
2013-06-01	17	12	2	0
2013-07-01	11	5	2	0
2013-08-01	10	7	1	0
2013-09-01	19	9	0	0
2013-10-01	9	12	6	0
2013-11-01	27	15	5	0
2013-12-01	22	8	1	0
2014-01-01	20	2	3	0
2014-02-01	14	8	0	0
2014-03-01	8	8	0	0
2014-04-01	7	6	2	0
2014-05-01	9	60	1	0
2014-06-01	11	46	1	0
2014-07-01	27	16	11	0
2014-08-01	14	11	1	0
2014-09-01	28	6	1	0
2014-10-01	7	8	1	0
2014-11-01	12	8	1	0
2014-12-01	14	4	2	0
2015-01-01	24	8	2	0
2015-02-01	5	6	2	0
2015-03-01	19	14	2	0
2015-04-01	16	14	2	0
2015-05-01	16	13	6	0
2015-06-01	14	12	1	0
2015-07-01	14	13	4	0
2015-08-01	4	6	0	0
2015-09-01	6	3	0	0
2015-10-01	12	16	5	0
2015-11-01	14	9	2	0
2015-12-01	20	5	1	0
2016-01-01	7	9	3	0
2016-02-01	13	8	7	0
2016-03-01	9	8	0	0
2016-04-01	11	12	1	0
