date	html	pdf	abstract	epdf
2012-09-01	23	10	5	0
2012-10-01	22	16	0	0
2012-11-01	11	7	1	0
2012-12-01	7	6	2	0
2013-01-01	18	8	2	0
2013-02-01	10	9	2	0
2013-03-01	30	13	0	0
2013-04-01	17	4	2	0
2013-05-01	21	17	3	0
2013-06-01	8	4	2	0
2013-07-01	10	4	1	0
2013-08-01	6	11	1	0
2013-09-01	14	5	0	0
2013-10-01	4	10	0	0
2013-11-01	9	3	2	0
2013-12-01	12	5	1	0
2014-01-01	12	5	2	0
2014-02-01	10	9	0	0
2014-03-01	16	7	0	0
2014-04-01	7	4	3	0
2014-05-01	13	15	4	0
2014-06-01	15	13	0	0
2014-07-01	18	12	16	0
2014-08-01	12	6	4	0
2014-09-01	11	15	1	0
2014-10-01	13	17	1	0
2014-11-01	17	21	1	0
2014-12-01	7	5	4	0
2015-01-01	19	11	3	0
2015-02-01	8	4	2	0
2015-03-01	10	3	2	0
2015-04-01	11	7	2	0
2015-05-01	12	18	6	0
2015-06-01	11	11	2	0
2015-07-01	7	7	0	0
2015-08-01	5	11	1	0
2015-09-01	8	9	0	0
2015-10-01	14	10	2	0
2015-11-01	22	6	2	0
2015-12-01	14	4	0	0
2016-01-01	9	13	2	0
2016-02-01	7	9	0	0
2016-03-01	10	9	0	0
2016-04-01	11	8	0	0
