date	html	pdf	abstract	epdf
2012-01-01	21	11	2	0
2012-02-01	17	6	2	0
2012-03-01	25	16	0	0
2012-04-01	30	64	2	0
2012-05-01	29	96	4	0
2012-06-01	29	151	0	0
2012-07-01	17	86	3	0
2012-08-01	17	97	3	0
2012-09-01	25	35	1	0
2012-10-01	50	76	8	0
2012-11-01	57	66	1	0
2012-12-01	17	29	1	0
2013-01-01	39	34	23	0
2013-02-01	22	30	12	0
2013-03-01	48	78	12	0
2013-04-01	46	80	10	0
2013-05-01	49	86	9	0
2013-06-01	46	42	14	0
2013-07-01	15	38	11	0
2013-08-01	19	57	9	0
2013-09-01	33	85	2	0
2013-10-01	34	64	0	0
2013-11-01	28	132	7	0
2013-12-01	20	47	12	0
2014-01-01	24	37	12	0
2014-02-01	33	27	8	0
2014-03-01	53	17	11	0
2014-04-01	38	8	10	0
2014-05-01	58	18	10	0
2014-06-01	43	38	11	0
2014-07-01	50	39	20	0
2014-08-01	31	26	12	0
2014-09-01	39	25	6	0
2014-10-01	88	28	1	0
2014-11-01	53	35	2	0
2014-12-01	42	7	4	0
2015-01-01	37	5	3	0
2015-02-01	41	15	0	0
2015-03-01	64	16	3	0
2015-04-01	53	20	8	0
2015-05-01	52	21	11	0
2015-06-01	70	33	1	8
2015-07-01	51	35	0	0
2015-08-01	50	19	0	0
2015-09-01	42	23	0	0
2015-10-01	63	26	1	0
2015-11-01	55	25	2	0
2015-12-01	49	18	0	0
2016-01-01	40	16	3	1
2016-02-01	55	29	0	0
2016-03-01	62	34	1	0
2016-04-01	48	33	1	0
