date	html	pdf	abstract	epdf
2012-12-01	9	10	7	0
2013-01-01	43	22	8	0
2013-02-01	26	9	6	0
2013-03-01	33	23	5	0
2013-04-01	37	24	7	0
2013-05-01	21	15	2	0
2013-06-01	17	15	2	0
2013-07-01	20	10	4	0
2013-08-01	11	7	1	0
2013-09-01	10	8	1	0
2013-10-01	9	7	2	0
2013-11-01	9	11	3	0
2013-12-01	10	11	1	0
2014-01-01	12	13	3	0
2014-02-01	24	28	2	0
2014-03-01	27	22	2	0
2014-04-01	14	14	3	0
2014-05-01	21	25	1	0
2014-06-01	15	56	2	0
2014-07-01	29	35	6	0
2014-08-01	16	25	1	0
2014-09-01	17	27	2	0
2014-10-01	13	35	2	0
2014-11-01	16	29	0	0
2014-12-01	11	16	8	0
2015-01-01	30	22	4	0
2015-02-01	18	20	2	0
2015-03-01	18	20	2	0
2015-04-01	12	31	1	0
2015-05-01	22	39	8	0
2015-06-01	17	35	2	1
2015-07-01	20	27	0	0
2015-08-01	17	45	0	0
2015-09-01	14	37	0	0
2015-10-01	43	40	3	0
2015-11-01	24	36	1	0
2015-12-01	43	58	0	0
2016-01-01	39	54	2	0
2016-02-01	26	53	2	0
2016-03-01	43	58	0	0
2016-04-01	31	47	2	0
