date	html	pdf	abstract	epdf
2012-01-01	12	1	3	0
2012-02-01	6	7	7	0
2012-03-01	3	2	1	0
2012-04-01	11	8	1	0
2012-05-01	17	4	2	0
2012-06-01	9	3	2	0
2012-07-01	18	2	5	0
2012-08-01	13	3	1	0
2012-09-01	10	1	2	0
2012-10-01	10	8	2	0
2012-11-01	26	12	2	0
2012-12-01	12	5	5	0
2013-01-01	6	1	5	0
2013-02-01	3	1	5	0
2013-03-01	19	10	7	0
2013-04-01	17	9	4	0
2013-05-01	19	3	3	0
2013-06-01	19	5	4	0
2013-07-01	11	4	4	0
2013-08-01	20	6	7	0
2013-09-01	16	2	2	0
2013-10-01	18	8	0	0
2013-11-01	11	4	1	0
2013-12-01	18	1	0	0
2014-01-01	8	1	2	0
2014-02-01	10	5	0	0
2014-03-01	13	5	5	0
2014-04-01	7	4	1	0
2014-05-01	13	3	1	0
2014-06-01	11	1	1	0
2014-07-01	26	3	12	0
2014-08-01	11	1	2	0
2014-09-01	18	3	1	0
2014-10-01	8	2	1	0
2014-11-01	6	0	0	0
2014-12-01	20	4	4	0
2015-01-01	22	0	1	0
2015-02-01	7	1	2	0
2015-03-01	12	1	3	0
2015-04-01	6	1	6	0
2015-05-01	15	2	10	0
2015-06-01	8	5	1	0
2015-07-01	5	0	2	0
2015-08-01	9	5	1	0
2015-09-01	7	9	2	0
2015-10-01	15	1	2	0
2015-11-01	11	2	1	0
2015-12-01	15	1	0	0
2016-01-01	12	4	2	0
2016-02-01	7	1	6	0
2016-03-01	13	2	2	0
2016-04-01	13	6	1	0
