date	html	pdf	abstract	epdf
2011-12-01	1	1	0	0
2012-01-01	110	15	2	0
2012-02-01	108	13	0	0
2012-03-01	115	23	1	0
2012-04-01	140	34	0	0
2012-05-01	152	51	1	0
2012-06-01	76	11	1	0
2012-07-01	78	11	1	0
2012-08-01	101	20	2	0
2012-09-01	110	10	5	0
2012-10-01	146	5	0	0
2012-11-01	105	21	1	0
2012-12-01	76	13	1	0
2013-01-01	85	22	2	0
2013-02-01	84	20	1	0
2013-03-01	85	10	3	0
2013-04-01	114	24	4	0
2013-05-01	119	27	5	0
2013-06-01	53	10	2	0
2013-07-01	60	10	0	0
2013-08-01	69	15	2	0
2013-09-01	68	19	1	0
2013-10-01	110	23	0	0
2013-11-01	97	26	2	0
2013-12-01	72	22	0	0
2014-01-01	76	16	2	0
2014-02-01	79	10	0	0
2014-03-01	88	21	2	0
2014-04-01	68	12	2	0
2014-05-01	94	32	1	0
2014-06-01	55	21	1	0
2014-07-01	80	20	16	0
2014-08-01	47	19	1	0
2014-09-01	41	36	1	0
2014-10-01	59	22	1	0
2014-11-01	69	18	1	0
2014-12-01	45	27	0	0
2015-01-01	44	13	1	0
2015-02-01	57	17	2	0
2015-03-01	74	28	3	0
2015-04-01	57	25	2	0
2015-05-01	56	23	6	0
2015-06-01	54	25	1	1
2015-07-01	43	27	0	0
2015-08-01	44	18	0	0
2015-09-01	45	23	0	0
2015-10-01	46	15	1	0
2015-11-01	56	17	1	0
2015-12-01	40	18	0	0
2016-01-01	44	23	1	0
2016-02-01	40	15	0	0
2016-03-01	42	15	3	0
2016-04-01	48	20	0	0
