date	html	pdf	abstract	epdf
2013-10-01	21	9	7	0
2013-11-01	48	18	6	0
2013-12-01	31	9	1	0
2014-01-01	30	10	4	0
2014-02-01	22	9	1	0
2014-03-01	27	22	2	0
2014-04-01	18	15	3	0
2014-05-01	36	47	1	0
2014-06-01	21	37	1	0
2014-07-01	26	5	13	0
2014-08-01	16	4	3	0
2014-09-01	30	12	2	0
2014-10-01	26	11	1	0
2014-11-01	35	9	2	0
2014-12-01	31	7	1	0
2015-01-01	31	10	1	0
2015-02-01	13	10	2	0
2015-03-01	17	11	2	0
2015-04-01	18	21	2	0
2015-05-01	31	26	5	1
2015-06-01	33	23	1	2
2015-07-01	27	15	1	0
2015-08-01	23	16	0	0
2015-09-01	29	16	1	0
2015-10-01	40	16	5	0
2015-11-01	31	16	4	0
2015-12-01	38	6	1	0
2016-01-01	19	16	8	0
2016-02-01	26	11	2	1
2016-03-01	33	16	1	0
2016-04-01	69	24	2	0
