date	html	pdf	abstract	epdf
2013-05-01	21	19	0	0
2013-06-01	46	20	2	0
2013-07-01	27	21	3	0
2013-08-01	29	24	4	0
2013-09-01	25	9	0	0
2013-10-01	23	19	6	0
2013-11-01	38	16	4	0
2013-12-01	28	12	0	0
2014-01-01	12	20	2	0
2014-02-01	27	20	1	0
2014-03-01	38	21	3	0
2014-04-01	23	15	7	0
2014-05-01	42	45	1	0
2014-06-01	30	21	2	0
2014-07-01	29	13	10	0
2014-08-01	21	10	1	0
2014-09-01	29	11	1	0
2014-10-01	32	13	2	0
2014-11-01	21	7	2	0
2014-12-01	45	7	3	0
2015-01-01	57	12	3	0
2015-02-01	11	4	2	0
2015-03-01	33	12	2	0
2015-04-01	26	21	2	0
2015-05-01	42	15	7	0
2015-06-01	18	22	3	4
2015-07-01	19	11	2	0
2015-08-01	11	10	0	0
2015-09-01	17	11	1	0
2015-10-01	18	7	2	0
2015-11-01	33	13	2	0
2015-12-01	28	10	1	0
2016-01-01	19	10	6	0
2016-02-01	16	9	0	0
2016-03-01	16	14	1	0
2016-04-01	38	32	1	0
