date	html	pdf	abstract	epdf
2012-11-01	6	17	3	0
2012-12-01	11	3	9	0
2013-01-01	10	7	15	0
2013-02-01	19	17	6	0
2013-03-01	19	5	8	0
2013-04-01	14	3	9	0
2013-05-01	24	8	5	0
2013-06-01	11	8	5	0
2013-07-01	17	9	8	0
2013-08-01	10	5	8	0
2013-09-01	17	4	0	0
2013-10-01	23	3	0	0
2013-11-01	20	9	9	0
2013-12-01	22	6	2	0
2014-01-01	7	2	2	0
2014-02-01	13	4	2	0
2014-03-01	18	3	2	0
2014-04-01	13	3	8	0
2014-05-01	16	5	3	0
2014-06-01	23	8	7	0
2014-07-01	39	15	11	0
2014-08-01	14	8	8	0
2014-09-01	20	7	3	0
2014-10-01	24	9	4	0
2014-11-01	23	17	8	0
2014-12-01	56	23	4	0
2015-01-01	48	10	6	0
2015-02-01	9	18	4	0
2015-03-01	14	5	3	0
2015-04-01	21	2	8	0
2015-05-01	19	2	11	0
2015-06-01	19	10	8	1
2015-07-01	23	4	4	0
2015-08-01	15	9	4	0
2015-09-01	22	7	5	0
2015-10-01	25	3	6	0
2015-11-01	22	5	6	0
2015-12-01	32	8	5	0
2016-01-01	28	10	4	0
2016-02-01	22	18	4	0
2016-03-01	23	9	6	0
2016-04-01	23	5	3	0
