date	html	pdf	abstract	epdf
2011-12-01	0	0	1	0
2012-01-01	23	4	2	0
2012-02-01	19	3	5	0
2012-03-01	40	11	0	0
2012-04-01	39	6	0	0
2012-05-01	54	25	3	0
2012-06-01	42	14	1	0
2012-07-01	28	12	1	0
2012-08-01	25	9	0	0
2012-09-01	27	17	1	0
2012-10-01	28	25	2	0
2012-11-01	22	20	1	0
2012-12-01	15	9	2	0
2013-01-01	16	6	1	0
2013-02-01	23	20	2	0
2013-03-01	52	27	2	0
2013-04-01	46	12	2	0
2013-05-01	48	11	1	0
2013-06-01	30	14	2	0
2013-07-01	24	21	1	0
2013-08-01	28	14	2	0
2013-09-01	41	16	1	0
2013-10-01	35	9	0	0
2013-11-01	45	13	1	0
2013-12-01	36	14	0	0
2014-01-01	14	12	2	0
2014-02-01	54	26	0	0
2014-03-01	57	25	1	0
2014-04-01	32	12	1	0
2014-05-01	33	27	0	0
2014-06-01	29	12	1	0
2014-07-01	36	30	6	0
2014-08-01	20	29	1	0
2014-09-01	28	29	2	0
2014-10-01	44	32	1	0
2014-11-01	27	23	0	0
2014-12-01	18	16	2	0
2015-01-01	24	15	0	0
2015-02-01	10	11	0	0
2015-03-01	17	31	0	0
2015-04-01	20	31	4	0
2015-05-01	36	42	7	0
2015-06-01	37	38	3	2
2015-07-01	23	20	0	0
2015-08-01	26	24	3	0
2015-09-01	29	34	0	0
2015-10-01	45	28	1	0
2015-11-01	37	35	3	0
2015-12-01	28	14	1	0
2016-01-01	24	16	4	0
2016-02-01	12	5	3	0
2016-03-01	25	12	3	0
2016-04-01	31	13	1	0
