date	html	pdf	abstract	epdf
2012-12-01	5	7	8	0
2013-01-01	13	3	7	0
2013-02-01	6	10	5	0
2013-03-01	19	9	2	0
2013-04-01	16	5	2	0
2013-05-01	30	8	0	0
2013-06-01	8	5	3	0
2013-07-01	13	8	2	0
2013-08-01	11	5	1	0
2013-09-01	12	0	0	0
2013-10-01	15	6	0	0
2013-11-01	10	2	1	0
2013-12-01	10	4	1	0
2014-01-01	8	5	3	0
2014-02-01	14	9	0	0
2014-03-01	18	8	1	0
2014-04-01	11	4	2	0
2014-05-01	4	9	1	0
2014-06-01	13	16	1	0
2014-07-01	10	2	4	0
2014-08-01	12	7	1	0
2014-09-01	14	6	1	0
2014-10-01	11	8	1	0
2014-11-01	17	7	1	0
2014-12-01	20	2	4	0
2015-01-01	25	7	5	0
2015-02-01	13	5	2	0
2015-03-01	24	4	5	0
2015-04-01	14	7	4	0
2015-05-01	12	10	6	0
2015-06-01	8	5	2	1
2015-07-01	11	11	2	0
2015-08-01	7	6	1	0
2015-09-01	9	7	0	0
2015-10-01	20	8	2	0
2015-11-01	14	11	2	0
2015-12-01	19	4	0	0
2016-01-01	19	13	5	0
2016-02-01	8	7	4	0
2016-03-01	11	5	0	0
2016-04-01	11	3	0	0
