date	html	pdf	abstract	epdf
2013-05-01	12	5	3	0
2013-06-01	32	12	2	0
2013-07-01	18	23	3	0
2013-08-01	26	24	3	0
2013-09-01	35	19	1	0
2013-10-01	40	16	5	0
2013-11-01	34	15	5	0
2013-12-01	28	9	2	0
2014-01-01	31	7	2	0
2014-02-01	21	14	1	0
2014-03-01	28	14	2	0
2014-04-01	31	19	2	0
2014-05-01	58	45	1	0
2014-06-01	39	20	4	0
2014-07-01	33	15	12	0
2014-08-01	14	14	2	0
2014-09-01	24	11	2	0
2014-10-01	32	16	1	0
2014-11-01	12	10	2	0
2014-12-01	19	4	0	0
2015-01-01	30	8	3	0
2015-02-01	25	4	2	0
2015-03-01	25	12	2	0
2015-04-01	27	12	6	0
2015-05-01	20	6	7	0
2015-06-01	22	22	3	0
2015-07-01	14	4	0	0
2015-08-01	35	16	1	0
2015-09-01	22	16	0	0
2015-10-01	21	11	3	0
2015-11-01	23	12	2	0
2015-12-01	32	12	0	0
2016-01-01	21	16	3	0
2016-02-01	24	26	1	0
2016-03-01	25	11	0	0
2016-04-01	32	13	0	0
