date	html	pdf	abstract	epdf
2012-08-01	11	3	4	0
2012-09-01	27	10	6	0
2012-10-01	32	11	3	0
2012-11-01	18	2	7	0
2012-12-01	16	3	7	0
2013-01-01	8	3	9	0
2013-02-01	23	5	9	0
2013-03-01	25	12	10	0
2013-04-01	44	9	5	0
2013-05-01	43	5	4	0
2013-06-01	19	3	6	0
2013-07-01	24	3	6	0
2013-08-01	19	6	4	0
2013-09-01	26	3	2	0
2013-10-01	39	4	0	0
2013-11-01	30	15	1	0
2013-12-01	24	10	1	0
2014-01-01	17	9	2	0
2014-02-01	27	5	0	0
2014-03-01	28	3	0	0
2014-04-01	25	3	2	0
2014-05-01	36	5	2	0
2014-06-01	19	4	3	0
2014-07-01	42	8	11	0
2014-08-01	22	3	3	0
2014-09-01	26	5	1	0
2014-10-01	38	16	2	0
2014-11-01	32	23	4	0
2014-12-01	22	23	6	0
2015-01-01	30	13	7	0
2015-02-01	22	23	11	0
2015-03-01	47	14	5	0
2015-04-01	41	9	8	0
2015-05-01	40	17	11	0
2015-06-01	47	13	4	1
2015-07-01	29	4	3	2
2015-08-01	16	10	3	0
2015-09-01	15	5	4	0
2015-10-01	25	12	5	0
2015-11-01	27	15	6	0
2015-12-01	28	6	3	0
2016-01-01	25	12	3	0
2016-02-01	24	10	1	0
2016-03-01	34	12	2	0
2016-04-01	24	10	1	0
