date	html	pdf	abstract	epdf
2011-12-01	2	0	1	0
2012-01-01	18	11	3	0
2012-02-01	10	19	4	0
2012-03-01	9	23	1	0
2012-04-01	17	40	2	0
2012-05-01	20	23	2	0
2012-06-01	19	15	4	0
2012-07-01	19	13	3	0
2012-08-01	20	17	1	0
2012-09-01	29	17	1	0
2012-10-01	24	12	3	0
2012-11-01	17	10	5	0
2012-12-01	15	12	9	0
2013-01-01	10	2	4	0
2013-02-01	24	18	6	0
2013-03-01	34	23	11	0
2013-04-01	32	13	5	0
2013-05-01	57	24	3	0
2013-06-01	28	8	6	0
2013-07-01	28	17	5	0
2013-08-01	20	9	7	0
2013-09-01	29	13	1	0
2013-10-01	22	17	1	0
2013-11-01	34	18	2	0
2013-12-01	12	7	1	0
2014-01-01	18	15	3	0
2014-02-01	15	8	1	0
2014-03-01	24	14	1	0
2014-04-01	18	13	1	0
2014-05-01	25	17	1	0
2014-06-01	23	15	0	0
2014-07-01	25	16	11	0
2014-08-01	21	17	1	0
2014-09-01	12	6	1	0
2014-10-01	27	13	1	0
2014-11-01	15	9	0	0
2014-12-01	17	3	3	0
2015-01-01	28	6	3	0
2015-02-01	6	9	2	0
2015-03-01	20	33	2	0
2015-04-01	20	13	2	0
2015-05-01	17	20	7	1
2015-06-01	23	34	2	2
2015-07-01	16	10	0	0
2015-08-01	13	29	0	0
2015-09-01	16	26	1	0
2015-10-01	21	16	1	0
2015-11-01	21	54	1	0
2015-12-01	21	17	1	0
2016-01-01	18	13	3	0
2016-02-01	8	6	1	0
2016-03-01	23	11	3	0
2016-04-01	25	9	0	0
