date	html	pdf	abstract	epdf
2013-04-01	36	7	2	0
2013-05-01	56	6	5	0
2013-06-01	22	7	4	0
2013-07-01	13	5	1	0
2013-08-01	10	6	3	0
2013-09-01	16	4	0	0
2013-10-01	14	10	3	0
2013-11-01	19	10	2	0
2013-12-01	21	6	1	0
2014-01-01	12	1	2	0
2014-02-01	6	5	0	0
2014-03-01	16	7	0	0
2014-04-01	8	1	2	0
2014-05-01	9	6	1	0
2014-06-01	18	4	4	0
2014-07-01	19	0	8	0
2014-08-01	14	2	3	0
2014-09-01	17	2	1	0
2014-10-01	9	2	1	0
2014-11-01	9	1	3	0
2014-12-01	20	4	2	0
2015-01-01	19	4	2	0
2015-02-01	6	3	2	0
2015-03-01	12	2	2	0
2015-04-01	12	5	6	0
2015-05-01	13	7	6	0
2015-06-01	20	8	3	0
2015-07-01	7	3	0	0
2015-08-01	4	5	3	0
2015-09-01	9	4	2	0
2015-10-01	15	6	2	0
2015-11-01	16	7	3	0
2015-12-01	16	5	3	0
2016-01-01	9	10	4	0
2016-02-01	14	5	3	0
2016-03-01	13	8	0	0
2016-04-01	20	8	1	0
