date	html	pdf	abstract	epdf
2013-05-01	22	5	0	0
2013-06-01	64	27	9	0
2013-07-01	42	15	11	0
2013-08-01	57	15	7	0
2013-09-01	27	10	4	0
2013-10-01	40	12	4	0
2013-11-01	38	18	4	0
2013-12-01	34	6	0	0
2014-01-01	30	11	3	0
2014-02-01	44	11	0	0
2014-03-01	39	27	0	0
2014-04-01	33	17	3	0
2014-05-01	48	19	1	0
2014-06-01	26	10	2	0
2014-07-01	52	21	11	0
2014-08-01	41	15	1	0
2014-09-01	43	13	2	0
2014-10-01	32	10	2	0
2014-11-01	39	12	1	0
2014-12-01	23	5	0	0
2015-01-01	46	4	2	0
2015-02-01	53	8	5	0
2015-03-01	61	10	3	0
2015-04-01	37	8	1	0
2015-05-01	44	11	7	2
2015-06-01	43	19	2	2
2015-07-01	43	9	2	0
2015-08-01	45	16	0	0
2015-09-01	54	22	0	0
2015-10-01	59	14	4	0
2015-11-01	73	20	2	1
2015-12-01	45	10	0	1
2016-01-01	50	7	3	0
2016-02-01	42	7	0	0
2016-03-01	43	11	0	0
2016-04-01	41	15	0	0
