date	html	pdf	abstract	epdf
2012-05-01	1	0	0	0
2012-06-01	18	4	7	0
2012-07-01	23	7	2	0
2012-08-01	13	8	0	0
2012-09-01	5	2	2	0
2012-10-01	5	0	1	0
2012-11-01	9	0	4	0
2012-12-01	7	0	0	0
2013-01-01	10	5	2	0
2013-02-01	17	2	4	0
2013-03-01	9	4	1	0
2013-04-01	19	1	1	0
2013-05-01	17	1	0	0
2013-06-01	4	1	1	0
2013-07-01	6	2	1	0
2013-08-01	7	1	1	0
2013-09-01	20	6	0	0
2013-10-01	14	10	0	0
2013-11-01	10	15	1	0
2013-12-01	4	12	1	0
2014-01-01	3	3	2	0
2014-02-01	11	2	1	0
2014-03-01	12	3	2	0
2014-04-01	10	3	2	0
2014-05-01	20	6	1	0
2014-06-01	17	13	5	0
2014-07-01	34	4	12	0
2014-08-01	18	4	2	0
2014-09-01	18	3	2	0
2014-10-01	21	7	1	0
2014-11-01	11	0	3	0
2014-12-01	42	3	2	0
2015-01-01	52	6	5	0
2015-02-01	15	3	2	0
2015-03-01	14	3	2	0
2015-04-01	9	2	2	0
2015-05-01	19	8	7	0
2015-06-01	7	6	1	0
2015-07-01	14	10	2	1
2015-08-01	19	9	0	0
2015-09-01	11	7	1	0
2015-10-01	20	8	1	0
2015-11-01	23	5	1	0
2015-12-01	32	10	0	0
2016-01-01	21	11	1	0
2016-02-01	18	9	2	0
2016-03-01	12	9	1	0
2016-04-01	11	11	1	0
