date	html	pdf	abstract	epdf
2012-10-01	16	16	0	0
2012-11-01	9	16	0	0
2012-12-01	5	1	0	0
2013-01-01	6	9	0	0
2013-02-01	10	2	0	0
2013-03-01	14	7	0	0
2013-04-01	12	2	0	0
2013-05-01	25	8	0	0
2013-06-01	24	13	0	0
2013-07-01	2	0	0	0
2013-08-01	9	4	0	0
2013-09-01	8	4	0	0
2013-10-01	10	3	0	0
2013-11-01	9	1	0	0
2013-12-01	14	0	1	0
2014-01-01	9	2	0	0
2014-02-01	6	2	0	0
2014-03-01	12	1	1	0
2014-04-01	15	2	0	0
2014-05-01	7	2	0	0
2014-06-01	2	2	0	0
2014-07-01	9	2	0	0
2014-08-01	7	6	0	0
2014-09-01	6	1	0	0
2014-10-01	6	2	0	0
2014-11-01	6	4	0	0
2014-12-01	12	1	0	0
2015-01-01	19	2	0	0
2015-02-01	7	0	0	0
2015-03-01	5	1	0	0
2015-04-01	2	1	0	0
2015-05-01	10	2	0	0
2015-06-01	9	5	0	0
2015-07-01	8	1	0	0
2015-08-01	3	2	0	0
2015-09-01	6	0	0	0
2015-10-01	23	0	0	0
2015-11-01	11	1	0	0
2015-12-01	20	1	0	0
2016-01-01	10	2	0	0
2016-02-01	8	1	0	0
2016-03-01	14	5	0	0
2016-04-01	18	3	0	1
