date	html	pdf	abstract	epdf
2013-12-01	64	24	4	0
2014-01-01	64	33	11	0
2014-02-01	55	24	6	0
2014-03-01	46	36	4	0
2014-04-01	45	20	2	0
2014-05-01	39	38	3	0
2014-06-01	25	34	7	0
2014-07-01	36	27	9	0
2014-08-01	26	26	7	0
2014-09-01	17	18	4	0
2014-10-01	42	19	2	0
2014-11-01	23	20	4	0
2014-12-01	22	10	6	0
2015-01-01	29	2	12	0
2015-02-01	17	10	4	0
2015-03-01	35	20	4	0
2015-04-01	23	19	11	0
2015-05-01	25	15	9	0
2015-06-01	18	9	4	6
2015-07-01	19	7	4	0
2015-08-01	20	18	2	0
2015-09-01	35	13	4	0
2015-10-01	41	16	5	0
2015-11-01	46	24	6	1
2015-12-01	38	13	3	0
2016-01-01	22	6	7	0
2016-02-01	23	12	2	0
2016-03-01	36	13	2	0
2016-04-01	41	14	4	0
