date	html	pdf	abstract	epdf
2013-12-01	27	9	3	0
2014-01-01	31	14	8	0
2014-02-01	50	14	4	0
2014-03-01	44	10	0	0
2014-04-01	32	11	2	0
2014-05-01	71	17	1	0
2014-06-01	39	42	3	0
2014-07-01	32	29	10	0
2014-08-01	31	20	4	0
2014-09-01	15	15	2	0
2014-10-01	22	8	2	0
2014-11-01	32	18	4	0
2014-12-01	34	5	2	0
2015-01-01	32	8	2	0
2015-02-01	20	9	2	0
2015-03-01	27	11	2	0
2015-04-01	25	8	10	0
2015-05-01	32	14	6	0
2015-06-01	38	20	2	1
2015-07-01	37	21	2	0
2015-08-01	27	17	0	0
2015-09-01	33	29	1	1
2015-10-01	40	28	2	0
2015-11-01	28	21	4	0
2015-12-01	36	7	1	0
2016-01-01	18	15	6	0
2016-02-01	37	20	1	0
2016-03-01	22	16	2	0
2016-04-01	33	15	1	0
