date	html	pdf	abstract	epdf
2013-09-01	8	2	4	0
2013-10-01	36	21	9	0
2013-11-01	19	10	2	0
2013-12-01	22	20	1	0
2014-01-01	19	18	3	0
2014-02-01	34	20	0	0
2014-03-01	47	2284	0	0
2014-04-01	39	2822	1	0
2014-05-01	34	3036	3	0
2014-06-01	34	2842	5	0
2014-07-01	35	2487	11	0
2014-08-01	14	3	1	0
2014-09-01	21	9	1	0
2014-10-01	25	13	3	0
2014-11-01	20	2	1	0
2014-12-01	18	8	5	0
2015-01-01	47	16	6	0
2015-02-01	26	6	3	0
2015-03-01	24	3	3	0
2015-04-01	25	9	4	0
2015-05-01	32	6	7	0
2015-06-01	24	15	2	3
2015-07-01	26	13	4	0
2015-08-01	38	8	1	0
2015-09-01	18	2	0	0
2015-10-01	26	6	2	0
2015-11-01	18	8	3	0
2015-12-01	29	13	1	0
2016-01-01	34	22	2	0
2016-02-01	17	6	3	0
2016-03-01	31	16	0	0
2016-04-01	29	12	1	0
