date	html	pdf	abstract	epdf
2011-12-01	1	0	0	0
2012-01-01	18	1	2	0
2012-02-01	11	0	2	0
2012-03-01	14	0	6	0
2012-04-01	12	2	0	0
2012-05-01	11	3	1	0
2012-06-01	17	5	0	0
2012-07-01	17	3	0	0
2012-08-01	9	5	3	0
2012-09-01	22	7	0	0
2012-10-01	20	5	0	0
2012-11-01	15	5	2	0
2012-12-01	8	5	1	0
2013-01-01	8	3	2	0
2013-02-01	17	4	1	0
2013-03-01	23	6	1	0
2013-04-01	24	8	4	0
2013-05-01	26	3	0	0
2013-06-01	11	3	2	0
2013-07-01	10	2	1	0
2013-08-01	9	4	2	0
2013-09-01	8	2	0	0
2013-10-01	17	8	0	0
2013-11-01	16	2	1	0
2013-12-01	11	2	0	0
2014-01-01	11	11	2	0
2014-02-01	12	8	4	0
2014-03-01	16	9	2	0
2014-04-01	7	2	2	0
2014-05-01	33	7	2	0
2014-06-01	17	13	4	0
2014-07-01	29	19	11	0
2014-08-01	17	21	3	0
2014-09-01	23	21	1	0
2014-10-01	20	21	2	0
2014-11-01	23	19	2	0
2014-12-01	8	6	3	0
2015-01-01	27	4	3	0
2015-02-01	8	12	2	0
2015-03-01	19	20	2	0
2015-04-01	15	23	3	0
2015-05-01	16	24	10	0
2015-06-01	31	17	2	1
2015-07-01	8	12	0	0
2015-08-01	22	17	3	0
2015-09-01	15	16	0	0
2015-10-01	21	13	1	0
2015-11-01	16	15	1	0
2015-12-01	15	15	0	0
2016-01-01	12	13	4	0
2016-02-01	12	7	0	0
2016-03-01	18	3	0	0
2016-04-01	16	7	0	0
