date	html	pdf	abstract	epdf
2011-12-01	2	0	0	0
2012-01-01	57	19	1	0
2012-02-01	69	11	0	0
2012-03-01	97	21	3	0
2012-04-01	73	11	1	0
2012-05-01	83	10	1	0
2012-06-01	52	11	1	0
2012-07-01	41	5	3	0
2012-08-01	49	23	3	0
2012-09-01	65	12	1	0
2012-10-01	75	15	2	0
2012-11-01	72	9	2	0
2012-12-01	65	10	6	0
2013-01-01	60	10	2	0
2013-02-01	82	23	1	0
2013-03-01	117	17	1	0
2013-04-01	95	16	5	0
2013-05-01	69	10	1	0
2013-06-01	47	5	4	0
2013-07-01	56	12	3	0
2013-08-01	48	6	2	0
2013-09-01	63	10	7	0
2013-10-01	92	10	0	0
2013-11-01	99	9	1	0
2013-12-01	64	14	3	0
2014-01-01	69	17	3	0
2014-02-01	70	9	0	0
2014-03-01	94	11	1	0
2014-04-01	98	5	2	0
2014-05-01	106	16	3	0
2014-06-01	84	16	0	0
2014-07-01	193	9	11	0
2014-08-01	101	16	2	0
2014-09-01	101	18	1	0
2014-10-01	133	19	3	0
2014-11-01	135	8	1	0
2014-12-01	122	8	3	0
2015-01-01	142	12	4	0
2015-02-01	140	12	3	0
2015-03-01	168	29	0	0
2015-04-01	148	15	3	0
2015-05-01	147	18	5	0
2015-06-01	135	19	1	6
2015-07-01	147	15	0	0
2015-08-01	123	15	0	0
2015-09-01	136	18	0	2
2015-10-01	262	36	2	1
2015-11-01	184	24	1	0
2015-12-01	166	26	0	0
2016-01-01	136	24	3	0
2016-02-01	206	28	0	0
2016-03-01	207	28	1	0
2016-04-01	198	21	0	0
