date	html	pdf	abstract	epdf
2012-12-01	18	21	13	0
2013-01-01	45	28	9	0
2013-02-01	21	56	6	0
2013-03-01	49	38	7	0
2013-04-01	42	18	5	0
2013-05-01	43	33	1	0
2013-06-01	25	27	5	0
2013-07-01	16	10	2	0
2013-08-01	21	14	2	0
2013-09-01	18	8	0	0
2013-10-01	26	12	1	0
2013-11-01	14	15	3	0
2013-12-01	25	25	2	0
2014-01-01	24	8	3	0
2014-02-01	21	10	0	0
2014-03-01	20	5	1	0
2014-04-01	30	7	3	0
2014-05-01	19	9	1	0
2014-06-01	45	15	8	0
2014-07-01	53	13	8	0
2014-08-01	29	10	1	0
2014-09-01	32	7	1	0
2014-10-01	33	18	3	0
2014-11-01	25	5	0	0
2014-12-01	25	5	6	0
2015-01-01	39	4	6	0
2015-02-01	23	5	3	0
2015-03-01	23	5	3	0
2015-04-01	21	12	3	0
2015-05-01	27	8	7	1
2015-06-01	23	6	3	2
2015-07-01	30	11	2	0
2015-08-01	28	5	1	0
2015-09-01	26	11	1	0
2015-10-01	40	10	2	0
2015-11-01	30	15	2	0
2015-12-01	48	17	1	2
2016-01-01	31	15	3	0
2016-02-01	27	13	3	0
2016-03-01	35	19	1	1
2016-04-01	29	12	2	0
