date	html	pdf	abstract	epdf
2013-07-01	12	4	3	0
2013-08-01	48	14	6	0
2013-09-01	37	6	7	0
2013-10-01	27	5	3	0
2013-11-01	30	8	4	0
2013-12-01	27	7	1	0
2014-01-01	22	15	4	0
2014-02-01	12	12	1	0
2014-03-01	31	12	1	0
2014-04-01	21	2	2	0
2014-05-01	26	11	2	0
2014-06-01	10	19	1	0
2014-07-01	27	12	17	0
2014-08-01	13	10	2	0
2014-09-01	34	8	1	0
2014-10-01	13	13	1	0
2014-11-01	17	12	1	0
2014-12-01	20	9	4	0
2015-01-01	34	6	2	0
2015-02-01	22	3	2	0
2015-03-01	25	5	2	0
2015-04-01	27	3	1	0
2015-05-01	34	19	5	1
2015-06-01	42	13	1	2
2015-07-01	24	9	0	0
2015-08-01	24	17	0	0
2015-09-01	23	13	2	0
2015-10-01	22	21	4	0
2015-11-01	20	10	4	0
2015-12-01	32	9	0	0
2016-01-01	19	8	3	0
2016-02-01	25	3	3	0
2016-03-01	24	9	3	0
2016-04-01	27	13	2	0
