date	html	pdf	abstract	epdf
2014-02-01	11	7	1	0
2014-03-01	28	11	3	0
2014-04-01	22	7	5	0
2014-05-01	49	14	2	0
2014-06-01	47	9	2	0
2014-07-01	59	23	12	0
2014-08-01	51	15	2	0
2014-09-01	54	10	2	0
2014-10-01	61	13	2	0
2014-11-01	39	20	2	0
2014-12-01	28	4	2	0
2015-01-01	43	6	5	0
2015-02-01	23	6	3	0
2015-03-01	33	9	4	0
2015-04-01	27	5	4	0
2015-05-01	27	12	7	1
2015-06-01	29	11	6	5
2015-07-01	31	9	6	0
2015-08-01	29	12	2	0
2015-09-01	28	12	1	0
2015-10-01	41	9	4	0
2015-11-01	31	7	4	0
2015-12-01	41	14	6	0
2016-01-01	35	9	6	0
2016-02-01	43	16	1	0
2016-03-01	36	13	1	0
2016-04-01	42	19	3	0
