date	html	pdf	abstract	epdf
2013-08-01	8	3	5	0
2013-09-01	21	7	2	0
2013-10-01	18	5	4	0
2013-11-01	10	8	3	0
2013-12-01	8	9	0	0
2014-01-01	14	3	2	0
2014-02-01	12	6	0	0
2014-03-01	15	2	0	0
2014-04-01	18	5	4	0
2014-05-01	16	8	3	0
2014-06-01	18	11	0	0
2014-07-01	30	16	10	0
2014-08-01	17	3	1	0
2014-09-01	16	11	1	0
2014-10-01	20	8	2	0
2014-11-01	18	8	3	0
2014-12-01	12	3	4	0
2015-01-01	36	4	4	0
2015-02-01	21	4	2	0
2015-03-01	26	5	2	0
2015-04-01	43	380	8	0
2015-05-01	31	10	6	0
2015-06-01	33	6	2	0
2015-07-01	11	4	2	0
2015-08-01	14	8	0	0
2015-09-01	14	4	1	0
2015-10-01	30	21	3	0
2015-11-01	29	15	2	0
2015-12-01	28	6	2	0
2016-01-01	31	10	5	0
2016-02-01	26	4	2	0
2016-03-01	17	8	3	0
2016-04-01	38	5	4	0
