date	html	pdf	abstract	epdf
2014-05-01	41	22	5	0
2014-06-01	60	26	6	0
2014-07-01	68	12	18	0
2014-08-01	34	9	3	0
2014-09-01	38	9	1	0
2014-10-01	67	21	1	0
2014-11-01	104	22	1	0
2014-12-01	79	11	0	0
2015-01-01	75	9	3	0
2015-02-01	75	23	5	0
2015-03-01	90	18	2	0
2015-04-01	72	20	7	0
2015-05-01	111	19	5	0
2015-06-01	71	7	1	3
2015-07-01	75	15	0	0
2015-08-01	63	23	0	0
2015-09-01	53	11	0	0
2015-10-01	98	24	1	0
2015-11-01	117	20	3	0
2015-12-01	132	39	3	1
2016-01-01	88	19	1	3
2016-02-01	83	15	0	0
2016-03-01	111	19	2	0
2016-04-01	100	28	0	0
