date	html	pdf	abstract	epdf
2011-12-01	4	7	0	0
2012-01-01	125	85	4	0
2012-02-01	159	104	4	0
2012-03-01	350	172	2	0
2012-04-01	300	224	1	0
2012-05-01	322	285	2	0
2012-06-01	178	211	0	0
2012-07-01	92	57	1	0
2012-08-01	158	175	0	0
2012-09-01	179	109	1	0
2012-10-01	244	110	3	0
2012-11-01	175	193	5	0
2012-12-01	101	113	4	0
2013-01-01	84	140	3	0
2013-02-01	97	220	2	0
2013-03-01	137	407	6	0
2013-04-01	194	373	4	0
2013-05-01	143	325	4	0
2013-06-01	103	297	2	0
2013-07-01	77	132	1	0
2013-08-01	96	176	1	0
2013-09-01	87	186	0	0
2013-10-01	124	236	0	0
2013-11-01	81	242	2	0
2013-12-01	56	165	1	0
2014-01-01	62	103	2	0
2014-02-01	83	194	4	0
2014-03-01	121	242	2	0
2014-04-01	95	226	2	0
2014-05-01	125	343	3	0
2014-06-01	159	287	0	0
2014-07-01	165	211	15	0
2014-08-01	112	278	5	0
2014-09-01	157	396	1	0
2014-10-01	162	201	1	0
2014-11-01	150	131	1	0
2014-12-01	109	130	5	0
2015-01-01	101	129	2	0
2015-02-01	87	108	2	0
2015-03-01	141	207	3	0
2015-04-01	148	158	2	0
2015-05-01	117	392	7	0
2015-06-01	121	444	1	6
2015-07-01	85	142	1	0
2015-08-01	97	117	0	0
2015-09-01	76	185	1	0
2015-10-01	83	265	1	0
2015-11-01	101	248	5	0
2015-12-01	60	201	0	0
2016-01-01	57	207	3	0
2016-02-01	73	135	1	0
2016-03-01	94	102	2	0
2016-04-01	87	113	0	0
