date	html	pdf	abstract	epdf
2012-01-01	114	26	4	0
2012-02-01	152	34	7	0
2012-03-01	196	44	2	0
2012-04-01	208	48	1	0
2012-05-01	254	133	2	0
2012-06-01	276	129	2	0
2012-07-01	167	47	2	0
2012-08-01	177	56	2	0
2012-09-01	215	19	6	0
2012-10-01	278	59	1	0
2012-11-01	211	34	3	0
2012-12-01	115	16	1	0
2013-01-01	208	49	5	0
2013-02-01	221	38	7	0
2013-03-01	280	62	4	0
2013-04-01	290	71	3	0
2013-05-01	176	43	3	0
2013-06-01	183	53	5	0
2013-07-01	171	32	4	0
2013-08-01	138	25	5	0
2013-09-01	154	66	2	0
2013-10-01	188	61	3	0
2013-11-01	233	89	3	0
2013-12-01	157	57	3	0
2014-01-01	97	43	2	0
2014-02-01	92	49	3	0
2014-03-01	152	68	6	0
2014-04-01	144	61	2	0
2014-05-01	260	65	1	0
2014-06-01	211	57	5	0
2014-07-01	195	80	11	0
2014-08-01	191	65	4	0
2014-09-01	243	89	3	0
2014-10-01	268	104	5	0
2014-11-01	337	99	2	0
2014-12-01	140	60	5	0
2015-01-01	172	57	2	0
2015-02-01	133	46	4	0
2015-03-01	225	115	4	0
2015-04-01	239	63	2	0
2015-05-01	259	89	9	5
2015-06-01	252	110	1	10
2015-07-01	152	88	1	0
2015-08-01	192	59	0	0
2015-09-01	199	78	2	0
2015-10-01	220	83	2	0
2015-11-01	237	65	2	0
2015-12-01	208	49	0	0
2016-01-01	125	45	4	0
2016-02-01	122	44	1	1
2016-03-01	119	29	0	0
2016-04-01	103	24	1	0
