date	html	pdf	abstract	epdf
2014-05-01	51	15	5	0
2014-06-01	23	10	6	0
2014-07-01	36	11	20	0
2014-08-01	35	17	5	0
2014-09-01	10	10	4	0
2014-10-01	19	10	1	0
2014-11-01	18	16	1	0
2014-12-01	8	8	2	0
2015-01-01	25	7	1	0
2015-02-01	14	4	2	0
2015-03-01	15	12	2	0
2015-04-01	18	10	1	0
2015-05-01	21	19	6	0
2015-06-01	15	21	1	0
2015-07-01	18	6	0	0
2015-08-01	16	18	0	0
2015-09-01	18	19	0	0
2015-10-01	29	20	3	0
2015-11-01	39	26	2	1
2015-12-01	21	13	4	0
2016-01-01	14	10	2	0
2016-02-01	6	9	1	0
2016-03-01	29	12	0	0
2016-04-01	23	9	0	0
