date	html	pdf	abstract	epdf
2011-12-01	2	0	0	0
2012-01-01	53	6	1	0
2012-02-01	53	16	1	0
2012-03-01	73	27	1	0
2012-04-01	73	26	2	0
2012-05-01	57	26	4	0
2012-06-01	51	22	0	0
2012-07-01	53	10	3	0
2012-08-01	57	10	4	0
2012-09-01	76	13	2	0
2012-10-01	75	27	9	0
2012-11-01	61	18	11	0
2012-12-01	54	19	9	0
2013-01-01	52	21	7	0
2013-02-01	23	18	10	0
2013-03-01	60	43	13	0
2013-04-01	64	14	8	0
2013-05-01	68	33	6	0
2013-06-01	49	14	6	0
2013-07-01	44	13	6	0
2013-08-01	52	21	9	0
2013-09-01	51	25	9	0
2013-10-01	48	31	3	0
2013-11-01	78	37	10	0
2013-12-01	57	20	10	0
2014-01-01	42	24	7	0
2014-02-01	34	20	6	0
2014-03-01	65	25	13	0
2014-04-01	51	16	15	0
2014-05-01	50	35	11	0
2014-06-01	61	31	15	0
2014-07-01	61	34	25	0
2014-08-01	41	22	18	0
2014-09-01	39	23	15	0
2014-10-01	71	39	18	0
2014-11-01	94	37	12	0
2014-12-01	64	22	16	0
2015-01-01	47	25	14	0
2015-02-01	36	13	7	0
2015-03-01	49	30	19	0
2015-04-01	52	32	5	0
2015-05-01	62	35	15	2
2015-06-01	62	32	7	1
2015-07-01	64	39	3	0
2015-08-01	29	29	6	0
2015-09-01	34	25	3	0
2015-10-01	39	25	3	0
2015-11-01	44	69	3	0
2015-12-01	57	34	8	0
2016-01-01	28	18	9	0
2016-02-01	26	8	5	1
2016-03-01	27	7	2	0
2016-04-01	37	10	7	0
